name,state,town,geo,capacity_mwe_14,operator,license_issued,age,license_renewed,license_until,output_mwh_14,output_state_mwh_14,output_max,output_state_mwh_13,percent_total_state,emissions_avoided,percent_reliability,generation_net_decade,percent_carbnonless_state,upgrades,sources
Joseph M Farley 1,Ala.,Columbia,"31.223263, -85.112579",888.00,Southern Nuclear Operating Co,6/25/77,38,5/12/05,6/25/37,7777425.00,41243689.00,7778880.00,150572924.00,0.0517,,0.9998,,,http://www.nrc.gov/reading-rm/doc-collections/commission/secys/2012/2012-0084scy.pdf,
Joseph M Farley 2,Ala.,Columbia,"31.223263, -85.112579",888.00,Southern Nuclear Operating Co,3/31/81,34,5/12/05,3/31/41,6727964.00,41243689.00,7778880.00,150572924.00,0.0447,,0.8649,,,,
Browns Ferry 1,Ala.,Athens,"34.708554, -87.114396",1152.00,Tennessee Valley Authority,12/20/73,42,5/4/06,12/20/33,8691419.00,41243689.00,10091520.00,150572924.00,0.0577,,0.8613,,,$160M cooling towers  ,http://nnsa.energy.gov/sites/default/files/nnsa/10-12-multiplefiles/289_TVA%202010%20Browns%20Ferry%20Nuclear%20Plant.pdf
Browns Ferry 2,Ala.,Athens,"34.708554, -87.114396",1152.00,Tennessee Valley Authority,8/2/74,41,5/4/06,6/28/34,9481426.00,41243689.00,10091520.00,150572924.00,0.0630,,0.9395,,,$160M cooling towers  ,http://nnsa.energy.gov/sites/default/files/nnsa/10-12-multiplefiles/289_TVA%202010%20Browns%20Ferry%20Nuclear%20Plant.pdf
Browns Ferry 3,Ala.,Athens,"34.708554, -87.114396",1192.00,Tennessee Valley Authority,8/18/76,39,5/4/06,7/2/36,8565455.00,41243689.00,10441920.00,150572924.00,0.0569,,0.8203,,,,
Palo Verde 1,Ariz.,Tonopah,"33.508147, -112.867694",1403.00,Arizona Public Service,6/1/85,30,4/21/11,6/1/45,10350311.00,32320917.00,12290280.00,113325986.00,0.0913,,0.8422,,,,
Palo Verde 2,Ariz.,Tonopah,"33.508147, -112.867694",1403.00,Arizona Public Service,4/24/86,29,4/21/11,4/24/46,10391477.00,32320917.00,12290280.00,113325986.00,0.0917,,0.8455,,,,
Palo Verde 3,Ariz.,Tonopah,"33.508147, -112.867694",1403.00,Arizona Public Service,11/25/87,28,4/21/11,11/25/47,11579129.00,32320917.00,12290280.00,113325986.00,0.1022,,0.9421,,,,
Arkansas Nuclear One -1,Ark.,Russellville,"35.310832, -93.230839",903.00,Entergy Operations,5/21/74,41,6/20/01,5/20/34,7180574.00,14480650.00,7910280.00,60322492.00,0.1190,,0.9078,,,,
Arkansas Nuclear One -2,Ark.,Russellville,"35.310832, -93.230839",943.00,Entergy Operations,9/1/78,37,6/30/05,7/17/38,7300076.00,14480650.00,8260680.00,60322492.00,0.1210,,0.8837,,,,
Diablo Canyon 1,Calif.,Avila Beach,"35.212809, -120.851839",1159.00,Pacific Gas & Electric,11/2/84,31,11/2/84,11/2/24,8514519.00,16985978.00,10152840.00,200077115.00,0.0426,,0.8386,,,,
Diablo Canyon 2,Calif.,Avila Beach,"35.212809, -120.851839",1164.00,Pacific Gas & Electric,8/26/85,30,8/26/85,8/26/25,8471459.00,16985978.00,10196640.00,200077115.00,0.0423,,0.8308,,,,
Millstone 3,Conn.,Waterford,"41.305855, -72.164094",910.00,Dominion Nuclear Connecticut,9/26/75,40,11/28/05,7/31/35,6501701.00,15840619.00,7971600.00,35610789.00,0.1826,,0.8156,,,,
Millstone 4,Conn.,Waterford,"41.305855, -72.164094",1253.00,Dominion Nuclear Connecticut,1/31/86,29,11/28/05,11/25/45,9338918.00,15840619.00,10976280.00,35610789.00,0.2622,,0.8508,,,,
Turkey Point 3,Fla.,Homestead,"25.435587, -80.331286",877.00,Florida Power & Light,7/19/72,43,6/6/02,7/19/32,5900847.00,27868270.00,7682520.00,202527297.00,0.0291,,0.7681,,,15% Power uprate completed 2013,"http://www.nrc.gov/reading-rm/doc-collections/fact-sheets/power-uprates.html, http://www.nexteraenergy.com/news/contents/2013/051513_1.shtml, http://www.nrc.gov/reading-rm/doc-collections/commission/secys/2012/2012-0084scy.pdf"
